source_label,target_label
ara,ar
bul,bg
ces/cze,cs
cze,cs
da,da
dan,da
de,de
deu/ger,de
dut,nl
en,en
eng,en
esl/spa,es
est,et
fin,fi
Finnish,fi
fra/fre,fr
fre,fr
ger,de
gre,el
hrv,hr
http://publications.europa.eu/resource/authority/language/CAT,OTHER
http://publications.europa.eu/resource/authority/language/DAN,da
http://publications.europa.eu/resource/authority/language/DEU,de
http://publications.europa.eu/resource/authority/language/ENG,en
http://publications.europa.eu/resource/authority/language/EST,et
http://publications.europa.eu/resource/authority/language/FRA,fr
http://publications.europa.eu/resource/authority/language/ITA,it
http://publications.europa.eu/resource/authority/language/LAV,lv
http://publications.europa.eu/resource/authority/language/POL,pl
http://publications.europa.eu/resource/authority/language/SPA,es
hun,hu
Indeterminado,
it,it
ita,it
lav,lv
lit,lt
nor,nn
null,
pol,pl
por,pt
ron/rum,ro
rum,ro
slk,sk
slk/slo,sk
slo,sk
slv,sl
spa,es
sr (cyrillic script),OTHER
srp,OTHER
swe,sv
und,
