source_label,target_label
https://creativecommons.org/licenses/by-sa/4.0/deed.sk,cc-by-sa
Embargo,Restricted
https://creativecommons.org/licenses/by/4.0/,cc-by
http://inspire.ec.europa.eu/metadata-codelist/ConditionsApplyingToAccessAndUse/noConditionsApply,cc-0
http://creativecommons.org/publicdomain/zero/1.0/deed.nl,cc-0
not available,Restricted
Restricted,Restricted
https://creativecommons.org/licenses/by/3.0/legalcode.it,cc-by
https://geoportail.wallonie.be/files/documents/ConditionsSPW/DataSPW-CGA.pdf,
http://inspire.ec.europa.eu/metadata-codelist/ConditionsApplyingToAccessAndUse/conditionsUnknown,Unknown
https://creativecommons.org/publicdomain/zero/1.0/,cc-0
,
https://geoportale.regione.emilia-romagna.it/approfondimenti/licenze/utilizzo-ristretto-dei-dati,Restricted
https://geoportail.wallonie.be/files/documents/ConditionsSPW/LicServicesSPW.pdf,
https://data.norge.no/nlod/no/2.0,cc-by
Open Access,cc-by
http://creativecommons.org/licenses/by/4.0/deed.nl,cc-by
https://opendata.swiss/en/terms-of-use/#terms_by,cc-by
https://opendata.swiss/en/terms-of-use/#terms_open,cc-0
Closed Access,Restricted
