source_label,target_label
journalpaper,JournalArticle
dataset,Dataset
http://inspire.ec.europa.eu/metadata-codelist/ResourceType/dataset,Dataset
document,Document
datapaper,DataPaper
service,Service
http://inspire.ec.europa.eu/metadata-codelist/ResourceType/service,Service
series,Dataset
http://inspire.ec.europa.eu/metadata-codelist/ResourceType/series,Dataset
Best practices and tools,BestPractices
nonGeographicDataset,Dataset
Publications &amp; reports,Report
journal-article,JournalArticle
Interview,Interview
software,Software
Conference deliverables,ConferenceProceeding
EU policy document,PolicyDocument
Policy documents,PolicyDocument
General articles,JournalArticle
journalarticle,JournalArticle
National policy document,PolicyDocument
Science-based policy advice,PolicyDocument
Policy recommendations,PolicyDocument
Education &amp; Training material,EducationAndTrainingMaterial
Vocational education &amp; training,EducationAndTrainingMaterial
Secondary education,EducationAndTrainingMaterial
Higher education,EducationAndTrainingMaterial
MAP,Dataset
project,Project
publication,JournalArticle
Other,Other
other,Other
text,Text
Scientific,
computationalnotebook,ComputationalNotebook
