subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
plant roots,plant cover,158941,,https://w3id.org/eusoilvoc#PlantCover,0.8416,0.8252
soil microbiology,soil microbial activity,158948,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,0.9437,0.7866
agricultural soils,soil agricultural functions,158985,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.9232,0.9688
soil stabilization,soil structural stability,159059,,https://w3id.org/eusoilvoc#SoilStructuralStability,0.8747,0.874
soil microbiome,soil microbial biomass,160133,,https://w3id.org/eusoilvoc#SoilMicrobialBiomass,0.8796,0.9601
biological soil crusts,soil biological crusts,159096,,https://w3id.org/eusoilvoc#SoilBiologicalCrusts,0.9961,0.9653
saturated-unsaturated flow,unsaturated water flow,159178,,https://w3id.org/eusoilvoc#UnsaturatedWaterFlow,0.8023,0.8845
solute transport,soil solute dispersive transport,159205,,https://w3id.org/eusoilvoc#SoilSoluteDispersiveTransport,0.5782,0.8977
sustainable agriculture,agricultural sustainability,159271,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9506,0.9943
organic matter,soil organic matter class,159279,,https://w3id.org/eusoilvoc#SoilOrganicMatterClass,0.7106,0.8396
subsoils,soil subsidence,159284,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5424,0.6995
soil carbon,soil organic carbon,159287,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9292,0.7222
engrais minéral,mineral fragments,159342,,https://w3id.org/eusoilvoc#MineralFragments,0.7647,0.6697
land degradation,soil degradation,159361,,https://w3id.org/eusoilvoc#SoilDegradation,0.914,0.7498
oxidation-reduction,soil oxidation reduction reaction,159383,,https://w3id.org/eusoilvoc#SoilOxidationReductionReaction,0.7226,0.8498
pxrf,Total_xrf-p,159386,,https://w3id.org/eusoilvoc#totalElementsProcedure-Total_xrf-p,0.6841,0.7972
soil nutrient imbalance,soil nutrient loss,159412,,https://w3id.org/eusoilvoc#SoilNutrientLoss,0.8831,0.7494
loss of diversity,soil biodiversity loss,159417,,https://w3id.org/eusoilvoc#SoilBiodiversityLoss,0.5006,0.952
loss of soil,soil nitrogen loss,159422,,https://w3id.org/eusoilvoc#SoilNLoss,0.9424,0.9677
soil contamination,soil contaminants,159437,,https://w3id.org/eusoilvoc#SoilContaminants,0.9424,0.7384
organic-carbon,soil organic carbon,159453,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.896,0.9687
land management,soil management,159497,,https://w3id.org/eusoilvoc#SoilManagement,0.9251,0.7344
soil-based ecosystem services,soil environmental functions,159501,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7535,0.6196
2505.04 utilización del terreno,land use,159506,,https://w3id.org/eusoilvoc#LandUse,0.7827,0.6337
agricultural soil management,soil agricultural functions,159514,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.9077,0.8695
agricultural soil,soil agricultural functions,159611,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.932,0.9607
agricultural resilience,agricultural sustainability,159618,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.7197,0.6477
sustainable agro-ecosystems,agricultural sustainability,159629,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.829,0.8827
alkaline soils,soil pH,159752,,https://w3id.org/eusoilvoc#SoilpH,0.8955,0.6137
landwirtschaftliche bodenbewirtschaftung,soil cracking,159827,,https://w3id.org/eusoilvoc#SoilCracking,0.9129,0.7305
bulk density,soil density,159856,,https://w3id.org/eusoilvoc#SoilDensity,0.8424,0.9511
soil organic carbon content,soil organic matter contents,159858,,https://w3id.org/eusoilvoc#SoilOrganicMatterContents,0.858,0.656
soil cover,land cover,159896,,https://w3id.org/eusoilvoc#LandCover,0.8861,0.6085
soil restoration,soil retention,159902,,https://w3id.org/eusoilvoc#SoilRetention,0.8428,0.7521
surface waters,soil water,159938,,https://w3id.org/eusoilvoc#SoilWater,0.8276,0.7788
vegetation stripes,plant cover,159954,,https://w3id.org/eusoilvoc#PlantCover,0.762,0.6096
preferential flow,soil preferential flow path,160039,,https://w3id.org/eusoilvoc#SoilPreferentialFlowPath,0.5073,0.8327
soil-based ecosystem service,soil environmental functions,160051,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7527,0.6016
water-stable aggregates,percent water stable aggregation,160062,,https://w3id.org/eusoilvoc#PercentWaterStableAggregation,0.8117,0.9662
landwirtschaft,land use,160203,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
bodenbearbeitung,conservation tillage,160204,,https://w3id.org/eusoilvoc#ConservationTillage,0.8904,0.8305
