subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score,has_definition
plants,plant cover,158938,,https://w3id.org/eusoilvoc#PlantCover,0.926,0.9184,True
plant roots,root abundance,158941,,https://w3id.org/eusoilvoc#RootAbundance,0.8012,0.8394,True
soil microbiology,soil biological properties,158948,,https://w3id.org/eusoilvoc#SoilBiologicalProperties,0.886,0.9944,True
agricultural soils,soil agricultural functions,158985,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.9232,0.8899,False
forests,land use forests,159027,,https://w3id.org/eusoilvoc#LandUseForests,0.7795,0.6676,True
soil stabilization,soil structural stability,159059,,https://w3id.org/eusoilvoc#SoilStructuralStability,0.8747,0.874,False
water,water quality,159064,,https://w3id.org/eusoilvoc#WaterQuality,0.909,0.6556,True
soil pollutants,soil pollution,159072,,https://w3id.org/eusoilvoc#SoilPollution,0.8639,0.9931,True
soil microbiome,soil microfauna,160133,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.9927,0.9679,True
biological soil crusts,soil biological crusts,159096,,https://w3id.org/eusoilvoc#SoilBiologicalCrusts,0.9961,0.9653,False
ecosystem,ecosystem services,159102,,https://w3id.org/eusoilvoc#EcosystemServices,0.8474,0.9585,True
soil science,soil,159105,,https://w3id.org/eusoilvoc#Soil,0.936,0.9398,True
soil management practices,soil management,160139,,https://w3id.org/eusoilvoc#SoilManagement,0.975,0.6924,True
physical geography and environmental geoscience,physiography,159140,,https://w3id.org/eusoilvoc#Physiography,0.8419,0.9978,True
physical sciences,physiography,159153,,https://w3id.org/eusoilvoc#Physiography,0.7094,0.6864,True
sciences de la terre & géographie physique,physiography,159173,,https://w3id.org/eusoilvoc#Physiography,0.8393,0.884,True
saturated-unsaturated flow,unsaturated water flow,159178,,https://w3id.org/eusoilvoc#UnsaturatedWaterFlow,0.8023,0.8845,False
0406 physical geography and environmental geoscience,physiography,159188,,https://w3id.org/eusoilvoc#Physiography,0.8137,0.8524,True
ecosystems,ecosystem services,159195,,https://w3id.org/eusoilvoc#EcosystemServices,0.8485,0.9552,True
solute transport,soil solute dispersive transport,159205,,https://w3id.org/eusoilvoc#SoilSoluteDispersiveTransport,0.5782,0.8977,False
soil sciences,soil,159207,,https://w3id.org/eusoilvoc#Soil,0.9187,0.957,True
earth sciences & physical geography,physiography,159209,,https://w3id.org/eusoilvoc#Physiography,0.7912,0.9803,True
soils,soil,159210,,https://w3id.org/eusoilvoc#Soil,0.9863,0.995,True
yield,crop yield,159264,,https://w3id.org/eusoilvoc#CropYield,0.6922,0.6671,True
sustainable agriculture,agricultural sustainability,159271,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9506,0.9943,False
soil ecosystem services,soil quality,159276,,https://w3id.org/eusoilvoc#SoilQuality,0.806,0.9993,True
organic matter,soil organic matter,159279,,https://w3id.org/eusoilvoc#SoilOrganicMatter,0.8594,0.9853,True
soil-based ecosystem services and soil threats' bundles,soil threats,159283,,https://w3id.org/eusoilvoc#SoilThreats,0.8285,0.793,True
subsoils,soil subsidence,159284,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5424,0.6995,False
soil carbon,soil total carbon,159287,,https://w3id.org/eusoilvoc#SoilTotalCarbon,0.9437,0.9992,True
fertilisation,soil productivity,159316,,https://w3id.org/eusoilvoc#SoilProductivity,0.7453,0.6272,True
plante de couverture,plant cover,159331,,https://w3id.org/eusoilvoc#PlantCover,0.9391,0.9981,True
soil health objectives,soil health,159357,,https://w3id.org/eusoilvoc#SoilHealth,0.9458,0.8364,True
land degradation,soil degradation,159361,,https://w3id.org/eusoilvoc#SoilDegradation,0.914,0.8285,True
oxidation-reduction,soil oxidation reduction reaction,159383,,https://w3id.org/eusoilvoc#SoilOxidationReductionReaction,0.7226,0.8498,False
nitrites,nitrogen,159384,,https://w3id.org/eusoilvoc#Nitrogen,0.7082,0.6639,True
pxrf,Total_xrf-p,159386,,https://w3id.org/eusoilvoc#totalElementsProcedure-Total_xrf-p,0.6841,0.9755,True
land use change,land use,159410,,https://w3id.org/eusoilvoc#LandUse,0.8819,0.9929,True
soil nutrient imbalance,soil nutrient loss,159412,,https://w3id.org/eusoilvoc#SoilNutrientLoss,0.8831,0.7494,False
salinization,soil salinization,159413,,https://w3id.org/eusoilvoc#SoilSalinization,0.731,0.9895,True
loss of diversity,soil biodiversity loss,159417,,https://w3id.org/eusoilvoc#SoilBiodiversityLoss,0.5006,0.952,False
loss of soil,soil water loss,159422,,https://w3id.org/eusoilvoc#SoilWaterLoss,0.8985,0.916,False
soil contamination,soil pollution,159437,,https://w3id.org/eusoilvoc#SoilPollution,0.9196,0.9928,True
organic-carbon,soil organic carbon,159453,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.896,0.9153,True
land management,land use,159497,,https://w3id.org/eusoilvoc#LandUse,0.8547,0.8767,True
soil-based ecosystem services,soil environmental functions,159501,,https://w3id.org/eusoilvoc#SoilEnvironmentalFunctions,0.7535,0.7535,False
2505.04 utilización del terreno,land use,159506,,https://w3id.org/eusoilvoc#LandUse,0.7827,0.785,True
soil sampling,soil depth sampled,159511,,https://w3id.org/eusoilvoc#SoilDepthSampled,0.8934,0.976,True
agricultural soil management,soil management,159514,,https://w3id.org/eusoilvoc#SoilManagement,0.9633,0.9061,True
soils and soil sciences,soil,159518,,https://w3id.org/eusoilvoc#Soil,0.9064,0.8711,True
geosciences,geology,159527,,https://w3id.org/eusoilvoc#Geology,0.8046,0.7984,True
plastic mulch,mulching,159528,,https://w3id.org/eusoilvoc#Mulching,0.7395,0.9697,True
"water pollutants, chemical",soil pollution,159540,,https://w3id.org/eusoilvoc#SoilPollution,0.6469,0.7528,True
soil organic carbon (soc),soil organic carbon,159590,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,0.9267,1.0,True
crop production,crop yield,159604,,https://w3id.org/eusoilvoc#CropYield,0.9149,0.6819,True
agricultural soil,soil agricultural functions,159611,,https://w3id.org/eusoilvoc#SoilAgriculturalFunctions,0.932,0.8543,False
agricultural resilience,agricultural sustainability,159618,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.7197,0.6477,False
soil management knowledge,soil management,159623,,https://w3id.org/eusoilvoc#SoilManagement,0.9248,0.7108,True
soil information,soil,159625,,https://w3id.org/eusoilvoc#Soil,0.9113,0.8547,True
sustainable agro-ecosystems,agricultural sustainability,159629,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.829,0.8827,False
soil conservation,conservation tillage,159631,,https://w3id.org/eusoilvoc#ConservationTillage,0.8993,0.9755,True
sustainable soil management,soil management,159646,,https://w3id.org/eusoilvoc#SoilManagement,0.9105,0.8245,True
plant,plant cover,159656,,https://w3id.org/eusoilvoc#PlantCover,0.91,0.9368,True
"ecosystem services, agronomic practices, soil quality indicators",soil quality,159691,,https://w3id.org/eusoilvoc#SoilQuality,0.7459,0.887,True
grasslands,land use grasses,159704,,https://w3id.org/eusoilvoc#LandUseGrasses,0.8161,0.6904,True
