subject_label,vocab_label,matched_label,matched_lang,is_mt,subject_id,subject_uri,vocab_identifier,fuzzy_score
microbial activity,soil microbial activity,soil microbial activity,en,False,158939,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,88
106026 ecosystem research,ecosystem services,ecosystem service,en,False,158947,,https://w3id.org/eusoilvoc#EcosystemServices,80
soil microbiology,soil microfauna,soil microbiota,en,False,158948,,https://w3id.org/eusoilvoc#SoilMicrofauna,81
ekologi,geology,Geologie,de,False,158952,,https://w3id.org/eusoilvoc#Geology,80
ecology,geology,geology,en,False,158953,,https://w3id.org/eusoilvoc#Geology,86
carbon,carbonate,carbonate,en,False,158957,,https://w3id.org/eusoilvoc#Carbonate,80
soc content,soil contents,soil content,en,False,158988,,https://w3id.org/eusoilvoc#SoilContents,87
soil stabilization,soil salinization,soil salinization,en,False,159059,,https://w3id.org/eusoilvoc#SoilSalinization,86
water,weather,weather,en,False,159064,,https://w3id.org/eusoilvoc#Weather,83
soil pollutants,soil pollution,soil pollution,en,False,159072,,https://w3id.org/eusoilvoc#SoilPollution,83
soil microbiome,soil microfauna,soil microbiota,en,False,160133,,https://w3id.org/eusoilvoc#SoilMicrofauna,87
soil science,soil subsidence,soil subsidence,en,False,159105,,https://w3id.org/eusoilvoc#SoilSubsidence,81
biological process,soil biological processes,soil biological process,en,False,159142,,https://w3id.org/eusoilvoc#SoilBiologicalProcesses,88
multiple ecosystem services,ecosystem services,ecosystem services,en,False,159156,,https://w3id.org/eusoilvoc#EcosystemServices,80
soil modeling,soil melting,soil melting,en,False,159204,,https://w3id.org/eusoilvoc#SoilMelting,88
solute transport,soil transport,soil transport,en,False,159205,,https://w3id.org/eusoilvoc#SoilTransport,87
soils,soil,soil,en,False,159210,,https://w3id.org/eusoilvoc#Soil,89
indicators,soil indicators,soil indicators,en,False,159275,,https://w3id.org/eusoilvoc#SoilIndicators,80
soil ecosystem services,ecosystem services,ecosystem services,en,False,159276,,https://w3id.org/eusoilvoc#EcosystemServices,88
organic matter,soil organic matter,soil organic matter,en,False,159279,,https://w3id.org/eusoilvoc#SoilOrganicMatter,85
soil improvement,soil movement,soil movement,en,False,159280,,https://w3id.org/eusoilvoc#SoilMovement,90
incubation,inundation,inundation,en,False,159288,,https://w3id.org/eusoilvoc#Inundation,80
soil profile,soil particles,soil particle,en,False,160234,,https://w3id.org/eusoilvoc#SoilParticles,80
soil profiles,soil particles,soil particles,en,False,160236,,https://w3id.org/eusoilvoc#SoilParticles,81
carbone,carbonate,carbonate,en,False,159309,,https://w3id.org/eusoilvoc#Carbonate,88
pesticides,pesticide use,pesticide use,en,False,159314,,https://w3id.org/eusoilvoc#PesticideUse,87
agroécologie,geology,géologie,fr,False,159328,,https://w3id.org/eusoilvoc#Geology,80
land degradation,soil degradation,soil degradation,en,False,159361,,https://w3id.org/eusoilvoc#SoilDegradation,81
denitrification,soil denitrification,soil denitrification,en,False,159380,,https://w3id.org/eusoilvoc#SoilDenitrification,86
soil nutrient imbalance,soil productivity,soil nutrient balance,en,False,159412,,https://w3id.org/eusoilvoc#SoilProductivity,95
