"subject_id","vocab_id","vocab_label","fuzzymatch_score","process_time"
158930,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158931,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158932,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158933,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158934,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158935,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158936,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158937,"https://w3id.org/eusoilvoc#BiologicalNitrogenFixation","biological nitrogen fixation",100,"2026-06-25 12:54:23.243731+00"
158938,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158939,"https://w3id.org/eusoilvoc#SoilMicrobialActivity","soil microbial activity",88,"2026-06-25 12:54:23.243731+00"
158940,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158941,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158942,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158943,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158944,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158945,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158946,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158947,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158948,"https://w3id.org/eusoilvoc#SoilMicrofauna","soil microfauna",81,"2026-06-25 12:54:23.243731+00"
158949,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158950,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158951,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158952,"https://w3id.org/eusoilvoc#Geology","geology",80,"2026-06-25 12:54:23.243731+00"
158953,"https://w3id.org/eusoilvoc#Geology","geology",86,"2026-06-25 12:54:23.243731+00"
158954,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158955,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158956,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158957,"https://w3id.org/eusoilvoc#Carbonate","carbonate",80,"2026-06-25 12:54:23.243731+00"
158958,"https://w3id.org/eusoilvoc#Soil","soil",100,"2026-06-25 12:54:23.243731+00"
158959,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
158960,NULL,NULL,NULL,"2026-06-25 12:54:23.243731+00"
