"uri","label"
NULL,"106022 mikrobiologie"
NULL,"rhizosphere bacteria"
NULL,"bacteria"
NULL,"plant growth-promoting bacteria"
NULL,"plant–microbe interaction"
NULL,"research"
NULL,"oryza"
NULL,"plants"
NULL,"in situ hybridization"
NULL,"plant roots"
NULL,"106026 ökosystemforschung"
NULL,"rhizosphere"
NULL,"106022 microbiology"
NULL,"nanosims"
NULL,"in situ hybridization"
NULL,"106026 ecosystem research"
NULL,"plant-microbe interaction"
NULL,"2. zero hunger"
NULL,"betula pubescens ssp. czerepanovii"
NULL,"its2"
NULL,"tree-line"
NULL,"rangifer tarandus"
NULL,"arctic shrubification"
NULL,"animals"
NULL,"grazing"
NULL,"fungal community"
NULL,"subarctic tundra"
NULL,"tundra"
NULL,"mycobiome"
NULL,"reindeer"
NULL,"0106 biological sciences"
NULL,"01 natural sciences"
NULL,"15. life on land"
NULL,"13. climate action"
NULL,"analytical methods"
NULL,"phenotypic arrays"
NULL,"qh301-705.5"
NULL,"mycorrhiza"
NULL,"biocontrol"
NULL,"review"
NULL,"biology (general)"
NULL,"formulation strategies"
NULL,"analytical methods; biocontrol; formulation strategies; mycorrhiza; phenotypic arrays"
NULL,"0301 basic medicine"
NULL,"0303 health sciences"
NULL,"03 medical and health sciences"
NULL,"qc801-809"
NULL,"rcp"
NULL,"agricultural soils"
NULL,"poland"
NULL,"soc loss"
NULL,"serena"
NULL,"ejp-soil"
NULL,"geophysics. cosmic physics"
NULL,"agroecology"
NULL,"collective action"
NULL,"agriculture (general)"
NULL,"pond naturalisation"
NULL,"biological control"
NULL,"sustainability transitions"
NULL,"agricultural knowledge and innovation systems (akis)"
NULL,"s1-972"
NULL,"human nature connectedness; sustainability transitions; agricultural innovations; multi-level perspective; agroecology; agricultural knowledge and innovation systems (akis); conservative agriculture practices; knowledge co-production; mediterranean horticulture; integrated pest management; greenhouses; soil health; biological control; pond naturalisation; collective action; socio-ecological systems"
NULL,"mediterranean horticulture"
NULL,"greenhouses"
NULL,"socio-ecological systems"
NULL,"multi-level perspective"
NULL,"agricultural innovations"
NULL,"integrated pest management"
NULL,"knowledge co-production"
NULL,"multilevel perspective"
NULL,"conservative agriculture practices"
NULL,"human nature connectedness"
NULL,"machine learning (ml)"
NULL,"field crop"
