identifier,label,uri,class
https://soilwise-he.github.io/soil-health#Soil,soil,http://aims.fao.org/aos/agrovoc/c_7156,
https://soilwise-he.github.io/soil-health#DevelopingCountries,developing countries,http://aims.fao.org/aos/agrovoc/c_2222,
https://soilwise-he.github.io/soil-health#SoilThreats,soil threats,,
https://soilwise-he.github.io/soil-health#SoilManagement,soil management,http://aims.fao.org/aos/agrovoc/c_7176,
https://soilwise-he.github.io/soil-health#SoilHealth,soil health,http://aims.fao.org/aos/agrovoc/c_a9645d28,
https://soilwise-he.github.io/soil-health#Climate,climate,http://aims.fao.org/aos/agrovoc/c_1665,
https://soilwise-he.github.io/soil-health#IntrinsicSoilProperties,intrinsic soil properties,,soil properties
https://soilwise-he.github.io/soil-health#SoilPhysicalProperties,soil physical properties,http://aims.fao.org/aos/agrovoc/c_7182,
https://soilwise-he.github.io/soil-health#Ecosystems,Ecosystems,http://aims.fao.org/aos/agrovoc/c_2482,
https://soilwise-he.github.io/soil-health#SpatialData,spatial data,http://aims.fao.org/aos/agrovoc/c_379bbe9f,
https://soilwise-he.github.io/soil-health#SoilProcesses,soil processes,https://data.geoscience.earth/ncl/ISO11074/3.3.32,
https://soilwise-he.github.io/soil-health#SoilFunctions,soil functions,http://aims.fao.org/aos/agrovoc/c_e5629cbd,
https://soilwise-he.github.io/soil-health#Space,space,http://aims.fao.org/aos/agrovoc/c_330769,
https://soilwise-he.github.io/soil-health#SoilAttributes,soil attributes,,
https://soilwise-he.github.io/soil-health#MineralCompounds,mineral compounds,,
https://soilwise-he.github.io/soil-health#OrganicCompounds,organic compounds,http://aims.fao.org/aos/agrovoc/c_5384,
https://soilwise-he.github.io/soil-health#Earth,earth,http://aims.fao.org/aos/agrovoc/c_2437,
https://soilwise-he.github.io/soil-health#SOCStabilisation,stabilisation,https://data.geoscience.earth/ncl/ISO11074/6.4.43,
https://soilwise-he.github.io/soil-health#LandManagement,land management,http://aims.fao.org/aos/agrovoc/c_24866,
https://soilwise-he.github.io/soil-health#Hydrogen,hydrogen,http://aims.fao.org/aos/agrovoc/c_3724,
https://soilwise-he.github.io/soil-health#SoilServices,soil services,,
https://soilwise-he.github.io/soil-health#SoilQuality,soil quality,http://aims.fao.org/aos/agrovoc/c_a9645d28,
https://soilwise-he.github.io/soil-health#WaterQuality,water quality,http://aims.fao.org/aos/agrovoc/c_16061,
https://soilwise-he.github.io/soil-health#SoilChemicalProperties,soil chemical properties,,
https://soilwise-he.github.io/soil-health#SoilBiologicalProperties,soil biological properties,,
https://soilwise-he.github.io/soil-health#Air,air,http://aims.fao.org/aos/agrovoc/c_224,
https://soilwise-he.github.io/soil-health#ForestFloors,forest floors,,
https://soilwise-he.github.io/soil-health#Society,society,http://aims.fao.org/aos/agrovoc/c_50309,
https://soilwise-he.github.io/soil-health#Oxygen,oxygen,http://aims.fao.org/aos/agrovoc/c_5477,
https://soilwise-he.github.io/soil-health#Time,time,http://aims.fao.org/aos/agrovoc/c_7778,
https://soilwise-he.github.io/soil-health#LandCultivation,land cultivation,,cultivate already exists
https://soilwise-he.github.io/soil-health#UnlimedAgriculturalLand,Unlimed agricultural land,,too specific
https://soilwise-he.github.io/soil-health#Land,Land,http://aims.fao.org/aos/agrovoc/c_4172,
https://soilwise-he.github.io/soil-health#Indicators,indicators,http://aims.fao.org/aos/agrovoc/c_330058,
https://soilwise-he.github.io/soil-health#SoilPotential,soil potential,,
