identifier,label,uri,class
https://soilwise-he.github.io/soil-health#Mineralization,mineralisation,,soil functions
https://soilwise-he.github.io/soil-health#MicrobialBiomass,microbial biomass,,soil biological properties
https://soilwise-he.github.io/soil-health#SoilPollution,Soil pollution,http://aims.fao.org/aos/agrovoc/c_7183,soil threats
https://soilwise-he.github.io/soil-health#SoilOrganicMatter,soil organic matter,http://aims.fao.org/aos/agrovoc/c_35657,soil chemical properties
https://soilwise-he.github.io/soil-health#Decomposition,decomposition,https://data.geoscience.earth/ncl/ISO11074/3.3.7,soil functions
https://soilwise-he.github.io/soil-health#Carbon,carbon,http://aims.fao.org/aos/agrovoc/c_1301,soil chemical properties
https://soilwise-he.github.io/soil-health#Water,water,http://aims.fao.org/aos/agrovoc/c_8309,soil chemical properties
https://soilwise-he.github.io/soil-health#MineralFertilisers,mineral fertilisers,http://aims.fao.org/aos/agrovoc/c_27870,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,soil chemical properties
https://soilwise-he.github.io/soil-health#Biodiversity,biodiversity,http://aims.fao.org/aos/agrovoc/c_33949,soil biological properties
https://soilwise-he.github.io/soil-health#ChemicalCompositionOfSoc,chemical composition of SOC,,soil chemical properties
https://soilwise-he.github.io/soil-health#Respiration,respiration,http://aims.fao.org/aos/agrovoc/c_9421,soil biological properties
https://soilwise-he.github.io/soil-health#Nitrogen,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192,soil chemical properties
https://soilwise-he.github.io/soil-health#Nutrients,nutrients,http://aims.fao.org/aos/agrovoc/c_5274,soil chemical properties
https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilErosion,Soil erosion,http://aims.fao.org/aos/agrovoc/c_2651,soil threats
https://soilwise-he.github.io/soil-health#Urbanisation,urbanisation,http://aims.fao.org/aos/agrovoc/c_8088,soil threats
https://soilwise-he.github.io/soil-health#Alfisols,alfisols,http://aims.fao.org/aos/agrovoc/c_4470,soil classification
https://soilwise-he.github.io/soil-health#SoilProductivity,soil productivity,https://data.geoscience.earth/ncl/ISO11074/5.1.10,soil functions
https://soilwise-he.github.io/soil-health#SoilProperties,soil properties,http://aims.fao.org/aos/agrovoc/c_330883,
https://soilwise-he.github.io/soil-health#SoilFertility,soil fertility,http://aims.fao.org/aos/agrovoc/c_7170,soil functions
https://soilwise-he.github.io/soil-health#FoodProduction,Food production,http://aims.fao.org/aos/agrovoc/c_3025,soil functions
https://soilwise-he.github.io/soil-health#Plants,plants,http://aims.fao.org/aos/agrovoc/c_5993,soil biological properties
https://soilwise-he.github.io/soil-health#Vegetation,vegetation,http://aims.fao.org/aos/agrovoc/c_8176,soil biological properties
https://soilwise-he.github.io/soil-health#WaterHoldingCapacity,water holding capacity,http://aims.fao.org/aos/agrovoc/c_25304,soil physical properties
