"id","record_id","name","format","url","description"
13,"3caab607-66af-40a8-a8ad-f4c2d780dc04","gsoc:S_CLAY","OGC:WMS-1.3.0-http-get-map","https%3A%2F%2Fdata.apps.fao.org%2Fmap%2Fgsrv%2Fgsrv1%2Fgsoc%2Fwms%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities","Subsoil Clay Fraction"
20,"r_friuve:m3952-cc-i1443",NULL,"Web Map Service (WMS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0",NULL
21,"r_friuve:m3952-cc-i1443",NULL,"Web Feature Service (WFS)","https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0",NULL
22,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilObservedProfile.CarbonContent","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
23,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilObservedProfile.pH","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
24,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-01","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
25,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-04","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
26,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-06","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
27,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-09","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
28,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-10","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
29,"9868c7d1-ac45-41f3-83e2-791deb26a3b8","SO.SoilBody.25000_Raster-12","OGC:WMS-1.3.0-http-get-capabilities","https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities",NULL
