id,record_id,name,format,url,description
13,3caab607-66af-40a8-a8ad-f4c2d780dc04,gsoc:S_CLAY,OGC:WMS-1.3.0-http-get-map,https%3A%2F%2Fdata.apps.fao.org%2Fmap%2Fgsrv%2Fgsrv1%2Fgsoc%2Fwms%3Fservice%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities,Subsoil Clay Fraction
20,r_friuve:m3952-cc-i1443,NULL,Web Map Service (WMS),https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwms%3Frequest%3DGetCapabilities%26service%3Dwms%26version%3D1.3.0,NULL
21,r_friuve:m3952-cc-i1443,NULL,Web Feature Service (WFS),https%3A%2F%2Fserviziogc.regione.fvg.it%2Fgeoserver%2FCAR_GEO%2Fwfs%3Frequest%3DGetCapabilities%26service%3Dwfs%26version%3D2.0.0,NULL
22,9868c7d1-ac45-41f3-83e2-791deb26a3b8,SO.SoilObservedProfile.CarbonContent,OGC:WMS-1.3.0-http-get-capabilities,https%3A%2F%2Fwms.inspire.geoportail.lu%2Fgeoserver%2Fso%2Fwms%3FSERVICE%3DWMS%26service%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities,NULL
57,37aaa10d-50bd-431e-b924-209c2e88b9d7,carbon_1000,OGC:WMS-1.3.0-http-get-capabilities,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwms%3FSERVICE%3DWMS%26version%3D1.3.0%26request%3DGetCapabilities,WMS-capabilities Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
59,37aaa10d-50bd-431e-b924-209c2e88b9d7,carbon_1000,OGC:WMS-1.3.0-http-get-map,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwms%3FSERVICE%3DWMS%26version%3D1.3.0%26request%3DGetMap,WMS-map Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
60,37aaa10d-50bd-431e-b924-209c2e88b9d7,carbon_1000,OGC:WMS,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwms%3F,WMS-endpoint Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
61,37aaa10d-50bd-431e-b924-209c2e88b9d7,organische_koolstof:carbon_1000,OGC:WCS-1.1.1-http-get-capabilities,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwcs%3FSERVICE%3DWCS%26version%3D1.1.1%26request%3DGetCapabilities,WCS-capabilities Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
62,37aaa10d-50bd-431e-b924-209c2e88b9d7,carbon_1000,OGC:WCS-1.1.1-http-get-coverage,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwcs%3FSERVICE%3DWCS%26version%3D1.1.1%26request%3DGetCoverage,WCS-coverage Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
63,37aaa10d-50bd-431e-b924-209c2e88b9d7,carbon_1000,OGC:WCS,https%3A%2F%2Fwww.dov.vlaanderen.be%2Fgeoserver%2Forganische_koolstof%2Fwcs%3F,WCS-endpoint Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid)
