record_id,name,description,service_type
3caab607-66af-40a8-a8ad-f4c2d780dc04,gsoc:S_CLAY,Subsoil Clay Fraction,wms
r_friuve:m3952-cc-i1443,NULL,NULL,wms
r_friuve:m3952-cc-i1443,NULL,NULL,wfs
http://www.lgl-bw.de/903d622c-845c-11ee-87fc-00505699ce57,INSPIRE-WMS BW Bodenbedeckung System zur Identifizierung landwirtschaftlicher Parzellen 2022,NULL,wms
1234567,NULL,NULL,wms
0c568272-5117-492f-b6dc-e37b5a0458df,gsoc:T_GRAVEL,Topsoil Gravel Content,wms
DAT-14-en,NULL,NULL,wms
DAT-14-en,NULL,NULL,wms
eea_r_3035_100_m_imd-2015-acc_p_2014-2016_v01_r03,NULL,NULL,wms
DAT-14-en,NULL,NULL,wms
a66f61a2-fdfa-41a1-b14b-8a26fe869bc1,gsoc:S_REF_BULK,Subsoil Reference Bulk Density,wms
e33c04ee-4f0a-464d-9d59-7a90fbe13896,Inspire View Services,Inspire view service,wms
r_friuve:m3986-cc-i4021,NULL,NULL,wfs
r_friuve:m3986-cc-i4021,NULL,NULL,wms
DAT-14-en,NULL,NULL,wms
r_friuve:m3967-cc-i1468,NULL,NULL,wfs
r_friuve:m3967-cc-i1468,NULL,NULL,wms
eea_r_3035_1_km_clc-forest-cover-gain-eu_p_2000-2006_v01_r00,NULL,NULL,wms
21f3a653-6422-4bbd-8937-5a29477620fe,gsoc:ISSOIL,Soil or non-Soil Unit,wms
r_friuve:m4004-cc-i4086,NULL,NULL,wms
r_friuve:m4004-cc-i4086,NULL,NULL,wfs
28a900a9-28a2-415e-b08d-d5d3e89deb03,gsoc:S_PH_H2O,Subsoil pH (H2O),wms
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/64e8a11d-5602-4ad5-b370-e4d396fe218f,wrb_250000,WFS-feature WRB Reference Soil Groups 250k: Bodemkaart van het Vlaamse Gewest volgens het internationale bodemclassificatiesysteem World Reference Base op schaal 1:250.000,wfs
eea_v_3035_1_km_heavy-metals-agri-soil_p_2008-2019_v01_r00,NULL,NULL,wms
7730e747-eb73-49c9-bfe6-84ebae718743,gsoc:GSOCmap1.5.0,Global Soil Organic Carbon Map,wms
eea_r_3035_1_km_imperviousness-layer_p_2018_v01_r00,NULL,NULL,wms
r_friuve:m3956-cc-i1451,NULL,NULL,wfs
eea_v_3035_100_m_eni-clc-2018_p_2017-2019_v01_r00,WMS Web Map Service,NULL,wms
WRB-Reference-Soil-Groups-250k,WFS,NULL,wfs
bbe45de0-88fd-11da-a88f-000d939bc5d8,geonetwork:crops_3845,Potential for agricolture by-products as feed and fertiliser inputs,wms
0b644920-ff5e-4aac-a124-8b478bda606c,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Incertitudes des Teneurs en Carbone organique total - période 2004-2014,wms
ARLPA_TO:07.09.03_AD_2012-03-05-11:00,NULL,NULL,wfs
DAT-137-en,NULL,NULL,wms
r_friuve:m3956-cc-i1451,NULL,NULL,wms
DAT-14-en,NULL,NULL,wms
r_lombar:9f3daa68-02ab-451c-9de0-7ab8581c976c,NULL,NULL,wms
DAT-14-en,NULL,NULL,wms
c8592600-88fd-11da-a88f-000d939bc5d8,geonetwork:soilslop_3844,Soil and terrain suitability for ponds,wms
e00c65cd-7577-4ebe-a888-5eaf7930acf5,gsoc:sq1,Soil Nutrient Availability (HWSD),wms
Bodemprofielen-kartering-Belgische-bodemkaart,vw_profiel,WFS-feature Bodemprofielen kartering Belgische bodemkaart,wfs
Bodemprofielen-kartering-Belgische-bodemkaart,WFS,NULL,wms
R_SARDEG:a1ee50f3-66ab-425d-997e-5fdc288163fd,NULL,NULL,wms
766ffdf4-286e-4c4c-b61f-10ffffd0f5ae,gsoc:S_OC,Subsoil Organic Carbon,wms
57af3675-efc5-453b-bd66-c9be4a4a0c16,NULL,NULL,wms
arls_031:m10809-cc-i11459,NULL,NULL,wfs
Digitale-bodemkaart-van-het-Vlaams-Gewest-bodemtypes,bodemtypes,WFS-feature Digitale bodemkaart van het Vlaams Gewest: bodemtypes,wfs
160635,INSPIRE prohlížecí služba (CS),NULL,wms
160636,INSPIRE prohlížecí služba (CS),NULL,wms
9f51ffea-549b-48a7-9d6e-19cf7c84cc40,NULL,NULL,wms
40db0008-f365-43ca-953d-cabdcadc24a5,gsoc:sq5,Soil Quality: Excess Salts (HWSD),wms
arls_031:m10809-cc-i11459,NULL,NULL,wms
arls_031:m10914-cc-i11787,NULL,NULL,wms
arls_031:m10914-cc-i11787,NULL,NULL,wfs
d9cc67ba-5491-4640-86ac-b8d392250270,NULL,NULL,wms
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/298d34a4-d459-4fc8-a9be-e8e26cd9b354,so_potbdmerosiepp_2020,WFS-feature Potentiële bodemerosiekaart per perceel (2020),wfs
https://www.dov.vlaanderen.be/geonetwork/srv/metadata/692a9efb-8509-4a6f-a3be-6887f969867d,erosiebestrijding_gemeente,WFS-feature Kleinschalige erosiebestrijdingswerken,wfs
b47d2800-713c-4cd9-bd34-016161ef806e,SOLAW:fig02_06_37990,Dominant soil and terrain constraints for low input farming,wms
b7725746-b5ef-46db-add4-d61a6cc3b8d3,Service de visualisation WMS,Adresse de connexion au service de visualisation WMS de la couche de données CARBIOSOL - Teneurs prédites en Carbone organique total - période 1949-1972,wms
bf6483f0-88fd-11da-a88f-000d939bc5d8,geonetwork:watav_3830,Water availability,wms
Soils-of-Scotland-map-Extend-125.000,WMS,NULL,wms
be8658f0-88fd-11da-a88f-000d939bc5d8,geonetwork:s_tlsub1_3809,Suitability for small-scale farming and potential yield (crops/y) of Nile tilapia,wms
c1251fb0-88fd-11da-a88f-000d939bc5d8,geonetwork:waterlos_3796,Soil suitability for ponds,wms
r_friuve:m3972-cc-i1476,NULL,NULL,wfs
r_friuve:m3972-cc-i1476,NULL,NULL,wms
bc4277fe-7d0b-4d5e-9782-cccb1753f5f5,NULL,NULL,wms
ba709b9e-79a8-43f6-97b7-6a763bf1cadf,gsoc:S_CEC_CLAY,Subsoil CEC (CLAY),wms
bd5d1b30-88fd-11da-a88f-000d939bc5d8,geonetwork:afferll_4,Soil fertility index for Africa,wms
bd84ee80-88fd-11da-a88f-000d939bc5d8,geonetwork:afgrouso_3,Dominant soils of Africa,wms
686656,"Avloppsslam på jordbruksmark, visningstjänst",NULL,wms
