Country Name,Country Code,Area
Bulgaria,BG,111025.595
Switzerland,CH,41280.77
Czech Republic,CZ,78873.976
Belgium,BE,30669.363
Austria,AT,83947.898
Germany,DE,357763.103
Cyprus,CY,9278.218
Denmark,DK,43653.175
Estonia,EE,45381.087
Greece,GR,131803.48
Spain,ES,506147.119
Finland,FI,337669.589
Croatia,HR,56436.962
Hungary,HU,93032.342
France,FR,638463.809
Ireland,IE,69918.63
Iceland,IS,102638.733
Netherlands,NL,37374.576
Norway,NO,385949.203
Italy,IT,300863.626
Liechtenstein,LI,159.169
Lithuania,LT,64930.612
Luxembourg,LU,2596.337
Latvia,LV,64599.986
Malta,MT,313.8
Portugal,PT,91979.972
Romania,RO,238361.189
Sweden,SE,449736.636
United Kingdom,GB,244518.149
Poland,PL,311939.129
Slovenia,SI,20268.192
Slovakia,SK,49009.242
